order_id,order_date,pharmacy_id,pharmacy_name,city,city_tier,distributor_id,distributor_name,sku_id,product_name,category,unit_price,order_qty,order_value,status,delivery_date,lead_time_days,month,year,quarter,is_anomaly,anomaly_type,mean_qty,std_qty,min_qty,max_qty,median_qty,p75_qty,p90_qty,p95_qty,total_orders,total_units,cv,qty_vs_mean,qty_vs_median,qty_vs_p95,qty_vs_max,qty_zscore,order_value_log,order_qty_log,entity_mean_log,entity_cv,entity_p95_log,entity_order_count,order_month,order_dow,is_month_start,is_quarter_end,iso_pred,iso_score,severity,severity_rank
ORD_006027,2024-06-03,PH_11,Ganesh Medicos - Sanjay Place,Agra,3,DIST_04,Rajputana Health Distributors,SKU_007,Super Pack with Wet Bag and Pouch,Super Pack,1100,140,154000,delivered,2024-06-07,3,6,2024,2,1,off_cycle_spike,9.849315068493151,2.6649537877831557,7,18,9.0,11.0,14.0,15.0,73,719,0.2705724711493463,14.214184926793463,15.555553827160686,9.333332711111153,7.777777345679036,48.837858536344164,11.944714374881176,4.948759890378168,2.3841019506660346,0.2705724711493463,2.772588722239781,73,6,0,1,1,1,-0.142639965905765,CRITICAL,0
ORD_003709,2025-06-02,PH_07,Sanjeevani Pharmacy - Hazratganj,Lucknow,2,DIST_04,Rajputana Health Distributors,SKU_005,Value Pack with Wet Bag and Pouch,Value Pack,690,396,273240,delivered,2025-06-05,3,6,2025,2,1,unusual_combo,28.87323943661972,6.34469311982134,22,48,26.0,31.5,38.0,41.5,71,2050,0.21974302239295634,13.715121476207987,15.230768644970436,9.542168444767025,8.249999828125004,57.86358705874353,12.518109468625356,5.983936280687191,3.3969630775233672,0.21974302239295634,3.7495040759303713,71,6,0,1,1,1,-0.13640733670180638,CRITICAL,0
ORD_006607,2024-12-09,PH_12,Rishikesh Pharma - Haridwar Road,Haridwar,3,DIST_05,Himalayan Pharma Agency,SKU_007,Super Pack with Wet Bag and Pouch,Super Pack,1100,110,121000,cancelled,,2,12,2024,4,1,repeat_excess,8.756410256410257,2.471583421356563,4,16,8.0,9.0,13.0,13.0,78,683,0.2822598606874711,12.562224041210138,13.749998281250216,8.461537810650938,6.874999570312527,40.96303119115017,11.703554089007538,4.709530201312334,2.2779245311720944,0.2822598606874711,2.6390573296152584,78,12,0,0,1,1,-0.13578211796969641,CRITICAL,0
ORD_007936,2024-09-02,PH_15,Care Pharmacy - T Nagar,Chennai,1,DIST_03,Deccan Healthcare Network,SKU_003,Reusable Pantyliners for Daily Use,Pantyliner,480,456,218880,delivered,2024-09-04,2,9,2024,3,1,repeat_excess,41.92857142857143,6.108491188196418,28,58,41.0,45.0,50.0,54.0,70,2935,0.14568803167822386,10.875638582182384,11.1219509482451,8.444444288065847,7.862068829964331,67.78619269932905,12.296283482119337,6.124683390894205,3.759537604919949,0.14568803167822386,4.007333185232471,70,9,0,1,1,1,-0.13548571952748556,CRITICAL,0
ORD_007429,2024-01-15,PH_14,Sunrise Medical - Salt Lake,Kolkata,1,DIST_01,NorthEast Hygiene Distributors,SKU_004,Day Pads - Pack of 6,Day Pad,560,639,357840,delivered,2024-01-16,1,1,2024,1,1,unusual_combo,54.31578947368421,13.055992776055794,37,91,50.0,59.75,75.0,81.5,76,4128,0.24037195559883034,11.764534667125815,12.779999744400007,7.840490701343673,7.021977944813429,44.782819336097184,12.787844032647874,6.461468176353717,4.01305839171051,0.24037195559883034,4.412798293340635,76,1,0,0,0,1,-0.13419269886483387,CRITICAL,0
ORD_002450,2024-01-01,PH_05,Sahyadri Medical - FC Road,Pune,2,DIST_03,Deccan Healthcare Network,SKU_004,Day Pads - Pack of 6,Day Pad,560,600,336000,delivered,2024-01-04,2,1,2024,1,1,unusual_combo,45.71621621621622,10.754445108718802,27,74,43.0,54.5,61.7,64.35,74,3383,0.23524354733584654,13.124445471117658,13.953488047593302,9.324009179114078,8.108107998539081,51.53996572026309,12.724869415131389,6.398594934535208,3.844091346717455,0.23524354733584654,4.17975744007023,74,1,0,1,0,1,-0.13409772560323108,CRITICAL,0
ORD_007027,2025-06-02,PH_13,Lifeline Pharmacy - Paltan Bazar,Dehradun,2,DIST_05,Himalayan Pharma Agency,SKU_005,Value Pack with Wet Bag and Pouch,Value Pack,690,390,269100,delivered,2025-06-04,2,6,2025,2,1,unusual_combo,26.513513513513512,6.489703632643089,17,45,24.0,31.0,37.400000000000006,38.349999999999994,74,1962,0.2447696486761644,14.709479567532371,16.249999322916693,10.169491260247948,8.666666474074079,56.00971185316455,12.502842052798766,5.968707559985366,3.3146772844662435,0.2447696486761644,3.6724959748634123,74,6,0,1,1,1,-0.1311211801853388,CRITICAL,0
ORD_007567,2025-03-03,PH_14,Sunrise Medical - Salt Lake,Kolkata,1,DIST_01,NorthEast Hygiene Distributors,SKU_005,Value Pack with Wet Bag and Pouch,Value Pack,690,540,372600,delivered,2025-03-05,1,3,2025,1,1,unusual_combo,39.27777777777778,9.507924378017043,26,69,36.0,41.0,53.9,58.0,72,2828,0.2420687898826995,13.74823161602805,14.999999583333347,9.310344667063024,7.826086843100191,52.663667657712736,12.828263420989288,6.293419278846481,3.69579989695851,0.2420687898826995,4.07753744390572,72,3,0,1,1,1,-0.13034956182947754,CRITICAL,0
ORD_007954,2025-01-06,PH_15,Care Pharmacy - T Nagar,Chennai,1,DIST_03,Deccan Healthcare Network,SKU_003,Reusable Pantyliners for Daily Use,Pantyliner,480,416,199680,delivered,2025-01-08,2,1,2025,1,1,unusual_combo,41.92857142857143,6.108491188196418,28,58,41.0,45.0,50.0,54.0,70,2935,0.14568803167822386,9.921635197780422,10.146341215942897,7.703703561042527,7.172413669441144,61.2379318900097,12.20447637216348,6.0330862217988015,3.759537604919949,0.14568803167822386,4.007333185232471,70,1,0,1,0,1,-0.1299906364661797,CRITICAL,0
ORD_005908,2025-03-03,PH_11,Ganesh Medicos - Sanjay Place,Agra,3,DIST_04,Rajputana Health Distributors,SKU_005,Value Pack with Wet Bag and Pouch,Value Pack,690,330,227700,delivered,2025-03-07,3,3,2025,1,1,unusual_combo,22.533333333333335,5.450845045652254,15,38,21.0,24.0,32.0,33.3,75,1690,0.24190139661616228,14.644969764276489,15.71428496598643,9.909909612315028,8.68421029778394,56.407145623184604,12.33578864378571,5.802118375377063,3.158417855831087,0.24190139661616228,3.535145354171894,75,3,0,1,1,1,-0.12772909871073346,CRITICAL,0
