order_id,order_date,pharmacy_id,pharmacy_name,city,city_tier,distributor_id,distributor_name,sku_id,product_name,category,unit_price,order_qty,order_value,status,delivery_date,lead_time_days,month,year,quarter,is_anomaly,anomaly_type
ORD_000001,2024-01-01,PH_01,Apollo Pharmacy - Connaught Place,Delhi,1,DIST_01,NorthEast Hygiene Distributors,SKU_001,Starter Pack with Wet Bag,Starter,430,53,22790,delivered,2024-01-03,1,1,2024,1,0,
ORD_000002,2024-01-08,PH_01,Apollo Pharmacy - Connaught Place,Delhi,1,DIST_01,NorthEast Hygiene Distributors,SKU_001,Starter Pack with Wet Bag,Starter,430,48,20640,delivered,2024-01-09,1,1,2024,1,0,
ORD_000003,2024-01-15,PH_01,Apollo Pharmacy - Connaught Place,Delhi,1,DIST_01,NorthEast Hygiene Distributors,SKU_001,Starter Pack with Wet Bag,Starter,430,48,20640,delivered,2024-01-17,1,1,2024,1,0,
ORD_000004,2024-01-22,PH_01,Apollo Pharmacy - Connaught Place,Delhi,1,DIST_01,NorthEast Hygiene Distributors,SKU_001,Starter Pack with Wet Bag,Starter,430,33,14190,cancelled,,1,1,2024,1,0,
ORD_000005,2024-01-29,PH_01,Apollo Pharmacy - Connaught Place,Delhi,1,DIST_01,NorthEast Hygiene Distributors,SKU_001,Starter Pack with Wet Bag,Starter,430,40,17200,delivered,2024-01-31,1,1,2024,1,0,
ORD_000006,2024-02-05,PH_01,Apollo Pharmacy - Connaught Place,Delhi,1,DIST_01,NorthEast Hygiene Distributors,SKU_001,Starter Pack with Wet Bag,Starter,430,34,14620,delivered,2024-02-07,1,2,2024,1,0,
ORD_000007,2024-02-12,PH_01,Apollo Pharmacy - Connaught Place,Delhi,1,DIST_01,NorthEast Hygiene Distributors,SKU_001,Starter Pack with Wet Bag,Starter,430,35,15050,delivered,2024-02-13,1,2,2024,1,0,
ORD_000008,2024-02-19,PH_01,Apollo Pharmacy - Connaught Place,Delhi,1,DIST_01,NorthEast Hygiene Distributors,SKU_001,Starter Pack with Wet Bag,Starter,430,35,15050,delivered,2024-02-21,1,2,2024,1,0,
ORD_000009,2024-02-26,PH_01,Apollo Pharmacy - Connaught Place,Delhi,1,DIST_01,NorthEast Hygiene Distributors,SKU_001,Starter Pack with Wet Bag,Starter,430,36,15480,delivered,2024-02-27,1,2,2024,1,0,
ORD_000010,2024-03-04,PH_01,Apollo Pharmacy - Connaught Place,Delhi,1,DIST_01,NorthEast Hygiene Distributors,SKU_001,Starter Pack with Wet Bag,Starter,430,55,23650,delivered,2024-03-06,1,3,2024,1,0,
ORD_000011,2024-03-11,PH_01,Apollo Pharmacy - Connaught Place,Delhi,1,DIST_01,NorthEast Hygiene Distributors,SKU_001,Starter Pack with Wet Bag,Starter,430,52,22360,delivered,2024-03-13,1,3,2024,1,0,
